%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1473672902882583113,0.0,0.0,0.0,0.0,0.0,0.0
1473672902899260816,0.0,0.0,0.0,0.0,0.0,0.0
1473672902915907988,0.0,0.0,0.0,0.0,0.0,0.0
1473672902932584892,0.0,0.0,0.0,0.0,0.0,0.0
1473672902949227464,0.0,0.0,0.0,0.0,0.0,0.0
1473672902965918986,0.0,0.0,0.0,0.0,0.0,0.0
1473672902982647399,0.0,0.0,0.0,0.0,0.0,0.0
1473672902999265873,0.0,0.0,0.0,0.0,0.0,0.0
1473672903015949925,0.0,0.0,0.0,0.0,0.0,0.0
1473672903032589164,0.0,0.0,0.0,0.0,0.0,0.0
1473672903049241533,0.0,0.0,0.0,0.0,0.0,0.0
1473672903065915501,0.0,0.0,0.0,0.0,0.0,0.0
1473672903082590740,0.0,0.0,0.0,0.0,0.0,0.0
1473672903099231474,0.0,0.0,0.0,0.0,0.0,0.0
1473672903115903749,0.0,0.0,0.0,0.0,0.0,0.0
1473672903132592838,0.0,0.0,0.0,0.0,0.0,0.0
1473672903149227330,0.0,0.0,0.0,0.0,0.0,0.0
1473672903165981440,0.0,0.0,0.0,0.0,0.0,0.0
1473672903182565827,0.0,0.0,0.0,0.0,0.0,0.0
1473672903199333303,0.0,0.0,0.0,0.0,0.0,0.0
1473672903215889149,0.0,0.0,0.0,0.0,0.0,0.0
1473672903232584456,0.0,0.0,0.0,0.0,0.0,0.0
1473672903249232179,0.0,0.0,0.0,0.0,0.0,0.0
1473672903265933418,0.0,0.0,0.0,0.0,0.0,0.0
1473672903282685517,0.0,0.0,0.0,0.0,0.0,0.0
1473672903299226513,0.0,0.0,0.0,0.0,0.0,0.0
1473672903315920603,0.0,0.0,0.0,0.0,0.0,0.0
1473672903332527224,0.0,0.0,0.0,0.0,0.0,0.0
1473672903349255925,0.0,0.0,0.0,0.0,0.0,0.0
1473672903365921282,0.0,0.0,0.0,0.0,0.0,0.0
1473672903382613867,0.0,0.0,0.0,0.0,0.0,0.0
1473672903399247634,0.0,0.0,0.0,0.0,0.0,0.0
1473672903415878863,0.0,0.0,0.0,0.0,0.0,0.0
1473672903432639736,0.0,0.0,0.0,0.0,0.0,0.0
1473672903449245219,0.0,0.0,0.0,0.0,0.0,0.0
1473672903465991087,0.0,0.0,0.0,0.0,0.0,0.0
1473672903482548530,0.0,0.0,0.0,0.0,0.0,0.0
1473672903499295182,0.0,0.0,0.0,0.0,0.0,0.0
1473672903515943938,0.0,0.0,0.0,0.0,0.0,0.0
1473672903532612498,0.0,0.0,0.0,0.0,0.0,0.0
1473672903549217249,0.0,0.0,0.0,0.0,0.0,0.0
1473672903565971458,0.0,0.0,0.0,0.0,0.0,0.0
1473672903582601037,0.0,0.0,0.0,0.0,0.0,0.0
1473672903599207777,0.0,0.0,0.0,0.0,0.0,0.0
1473672903615937724,0.0,0.0,0.0,0.0,0.0,0.0
1473672903632592618,0.0,0.0,0.0,0.0,0.0,0.0
1473672903649274211,0.0,0.0,0.0,0.0,0.0,0.0
1473672903665913283,0.0,0.0,0.0,0.0,0.0,0.0
1473672903682548937,0.0,0.0,0.0,0.0,0.0,0.0
1473672903699269488,0.0,0.0,0.0,0.0,0.0,0.0
1473672903715939006,0.0,0.0,0.0,0.0,0.0,0.0
1473672903732609459,0.0,0.0,0.0,0.0,0.0,0.0
1473672903749263479,0.0,0.0,0.0,0.0,0.0,0.0
1473672903765946421,0.0,0.0,0.0,0.0,0.0,0.0
1473672903782584399,0.0,0.0,0.0,0.0,0.0,0.0
1473672903799274676,0.0,0.0,0.0,0.0,0.0,0.0
1473672903815927690,0.0,0.0,0.0,0.0,0.0,0.0
1473672903832583260,0.0,0.0,0.0,0.0,0.0,0.0
1473672903849276548,0.0,0.0,0.0,0.0,0.0,0.0
1473672903865908307,0.0,0.0,0.0,0.0,0.0,0.0
1473672903882598009,0.0,0.0,0.0,0.0,0.0,0.0
1473672903899258513,0.0,0.0,0.0,0.0,0.0,0.0
1473672903915942378,0.0,0.0,0.0,0.0,0.0,0.0
1473672903932595448,0.0,0.0,0.0,0.0,0.0,0.0
1473672903949276266,0.0,0.0,0.0,0.0,0.0,0.0
1473672903966029562,0.0,0.0,0.0,0.0,0.0,0.0
1473672903982624527,0.0,0.0,0.0,0.0,0.0,0.0
1473672903999274049,0.0,0.0,0.0,0.0,0.0,0.0
1473672904015925606,0.0,0.0,0.0,0.0,0.0,0.0
1473672904032598278,0.0,0.0,0.0,0.0,0.0,0.0
1473672904049254837,0.0,0.0,0.0,0.0,0.0,0.0
1473672904065947581,0.0,0.0,0.0,0.0,0.0,0.0
1473672904082622087,0.0,0.0,0.0,0.0,0.0,0.0
1473672904099267445,0.0,0.0,0.0,0.0,0.0,0.0
1473672904116002339,0.0,0.0,0.0,0.0,0.0,0.0
1473672904132556461,0.0,0.0,0.0,0.0,0.0,0.0
1473672904149302581,0.0,0.0,0.0,0.0,0.0,0.0
1473672904165924484,0.0,0.0,0.0,0.0,0.0,0.0
1473672904182614879,0.0,0.0,0.0,0.0,0.0,0.0
1473672904199281553,0.0,0.0,0.0,0.0,0.0,0.0
1473672904215911142,0.0,0.0,0.0,0.0,0.0,0.0
1473672904232592492,0.0,0.0,0.0,0.0,0.0,0.0
1473672904249255202,0.0,0.0,0.0,0.0,0.0,0.0
1473672904265939092,0.0,0.0,0.0,0.0,0.0,0.0
1473672904282533736,0.0,0.0,0.0,0.0,0.0,0.0
1473672904299248730,0.0,0.0,0.0,0.0,0.0,0.0
1473672904315965259,0.0,0.0,0.0,0.0,0.0,0.0
1473672904332623361,0.0,0.0,0.0,0.0,0.0,0.0
1473672904349275695,0.0,0.0,0.0,0.0,0.0,0.0
1473672904365902606,0.0,0.0,0.0,0.0,0.0,0.0
1473672904382615389,0.0,0.0,0.0,0.0,0.0,0.0
